question_id,source_type,source_name,component,paper,year,season,section,topic_id,subtopic_id,command_word,marks,difficulty,answer_type,estimated_minutes,title,prompt,feedback_rule_id,mark_scheme_points,common_pitfalls,tags
p1-ct-001,curriculum-authored,Derived from specification pages 10-12,core,paper-1,,,topic-practice,problem-solving,computational-thinking,explain,4,secure,short-open,5,Decompose a cinema kiosk problem,"A cinema kiosk must let a user choose a film, seat type, and payment method before printing a ticket. Explain how decomposition would help design the solution and identify one benefit of showing the logic as a flowchart.",points-linked-explanation,"Break the problem into smaller parts such as input capture, validation, pricing, and ticket output. | State that decomposition reduces complexity or makes implementation and testing easier. | Identify a valid flowchart benefit such as visual clarity of sequence and decisions. | Link the flowchart benefit to debugging, planning, or communication.",Listing features without explaining how decomposition helps. | Describing a flowchart generally without linking it to this task.,paper-1|problem-solving|flowcharts|computational-thinking
p1-ad-002,curriculum-authored,Derived from specification pages 11-12,core,paper-1,,,quick-practice,problem-solving,algorithmic-design,complete,3,foundation,code-trace,4,Trace a simple algorithm,"A program starts with total = 0, then repeats three times: total = total + 2. After the loop, it prints total. State the output and identify the control structure being used.",code-trace,Output is 6. | The algorithm uses iteration. | It is specifically a count-controlled loop or repetition that runs three times.,Adding 2 once instead of three times. | Naming sequence rather than iteration.,paper-1|algorithm-trace|iteration
p1-vc-003,curriculum-authored,Derived from specification pages 13-14,core,paper-1,,,topic-practice,introduction-to-programming,variables-constants-scope,explain,4,secure,short-open,5,Scope and type conversion,Explain why a Python program might use a local variable for a temporary calculation and a type conversion function when reading age from keyboard input.,points-linked-explanation,A local variable limits visibility to the function or block where it is needed. | Using local scope reduces accidental changes elsewhere in the program. | Keyboard input is read as text/string. | Type conversion is needed to treat the input as a number for arithmetic or comparison.,Calling the input an integer by default. | Confusing local scope with constant values.,paper-1|scope|type-conversion|python
p1-ds-004,curriculum-authored,Derived from specification pages 13-17,core,paper-1,,,topic-practice,introduction-to-programming,data-structures,justify,5,secure,scenario-response,6,Choose a data structure,"A school app stores each student's ID number, name, and current attendance percentage. Justify whether a dictionary or a list is the better primary structure for looking up one student quickly by ID.",levels-evaluate,A dictionary is more suitable when the student ID is used as the key. | Direct key-based access is faster or simpler than searching a list item by item. | The value can store multiple fields such as name and attendance. | A list would usually require linear search unless already indexed by position in a meaningful way. | A justified conclusion selects the structure that best fits the lookup requirement.,Saying lists are always better because they are simpler. | Ignoring the lookup-by-ID requirement.,paper-1|data-structures|dictionaries|lists
p1-act-005,curriculum-authored,Derived from specification page 15,core,paper-1,,,debug-lab,introduction-to-programming,actions-sequence-selection-iteration,identify,4,secure,fix-the-bug,6,Fix the off-by-one loop,A loop is meant to print numbers 1 to 5 inclusive but instead prints 1 to 4. Identify the likely bug and describe a fix.,code-trace,"The loop boundary is wrong, so it stops one iteration too early. | A correct fix adjusts the end value or loop condition so 5 is included. | The explanation recognises this as an iteration/control-flow issue. | The fix preserves the intended order of outputs.",Changing the start value instead of the end condition. | Offering a fix without explaining why the original fails.,paper-1|loops|debugging
p1-fp-006,curriculum-authored,Derived from specification page 16,core,paper-1,,,topic-practice,introduction-to-programming,functions-procedures,compare,4,foundation,short-open,5,Function versus procedure,Compare a function and a procedure in Python when building a reusable program.,points-linked-explanation,A function returns a value. | A procedure performs an action without returning a result. | Both can take parameters. | Reusable modular code improves maintainability or clarity.,Saying procedures cannot take parameters. | Treating every Python function as a procedure.,paper-1|functions|procedures|modularity
p1-val-007,curriculum-authored,Derived from specification page 16,core,paper-1,,,topic-practice,introduction-to-programming,validation,describe,4,secure,scenario-response,5,Validation for student registration,Describe two validation checks that should be used when a student enters an email address and age into a registration form.,points-linked-explanation,A format check can confirm the email follows an expected pattern. | A presence or length check can ensure the email field is not empty or unreasonably long. | A range check can ensure age falls within an acceptable interval. | A type check can ensure age is numeric before processing.,Naming verification methods instead of validation checks. | Describing generic security controls rather than input validation.,paper-1|validation|forms
p1-rb-008,curriculum-authored,Derived from specification page 17,core,paper-1,,,debug-lab,introduction-to-programming,robust-code-debugging,explain,5,stretch,scenario-response,7,Robust error handling,Explain how robust code should respond when a program expects a number but the user enters text and then closes the program unexpectedly.,points-linked-explanation,"The program should validate or safely convert input before use. | It should handle unexpected input without crashing. | It should provide a clear and meaningful error message or prompt for re-entry. | Unexpected termination should be handled cleanly, for example by saving state or closing resources safely. | The explanation links these behaviours to reliability or user experience.",Only saying 'use try/except' with no explanation of behaviour. | Ignoring the unexpected termination part of the question.,paper-1|robust-code|debugging|errors
p1-alg-009,curriculum-authored,Derived from specification pages 17-18,core,paper-1,,,topic-practice,introduction-to-programming,common-algorithms,justify,6,stretch,scenario-response,8,Search algorithm choice,A dataset of customer IDs is stored in sorted order. Justify whether linear search or binary search is the better algorithm when fast lookup matters.,levels-evaluate,Binary search is appropriate because the data is sorted. | It reduces the search space by half each step. | This generally needs fewer comparisons than linear search on larger datasets. | Linear search does not rely on sorted data but checks each item in sequence. | A strong answer notes that binary search is unsuitable if the data is not sorted or indexing is not possible. | A justified conclusion clearly selects binary search in this scenario.,Choosing binary search without mentioning the sorted prerequisite. | Confusing search with sort.,paper-1|algorithms|binary-search|linear-search
p1-sort-010,curriculum-authored,Derived from specification page 18,core,paper-1,,,quick-practice,introduction-to-programming,common-algorithms,state,3,foundation,short-open,3,Sort comparison basics,State one valid metric that can be used to compare sorting algorithms and give one reason why it matters.,points-linked-explanation,"Valid metrics include execution time, memory use, or number of comparisons. | The reason links the metric to efficiency or suitability. | The response is concise and correct.",Naming a sort algorithm rather than a comparison metric. | Giving a vague reason such as 'it is better'.,paper-1|sorting|algorithm-metrics
